账号,内容,时间,转发数,评论数
怀萍的天空,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,今天08:39, 转发 ,评论 
JOHNNY_LJQ,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,06月02日 21:26, 转发 ,评论 
巴黎午夜雨,#警方通报教师涉嫌体罚学生#近些年来反转新闻盘点：于欢案、太伏中学事件、德阳自杀女医生、网红saya事件、红黄蓝幼儿园案、广州13行、河南篡改分数事件、17年那个强奸未成年少女不立案的、成都实验七中、新京报造谣汤兰兰事件、被妈藏起来的乐清男孩、重庆公交坠江被冤枉的女司机、王凤雅小朋友之死、堂姐顶替上大学、女明星自称被海关刁难、杭州全城杀狗。怎么说呢，看到社会新闻先别急着站队，未知全貌，不予置评。但现实中能做到这八个字的有几人2六安·舒城收起全文d,05月31日 09:45, 转发 1,评论 
Priscilla媛媛,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。05zEVcl30。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,05月30日 09:43, 转发 ,评论 
宁乐乐的姐姐,晴川历历，天理昭彰，照妖镜下，鬼魅遁形。最近感觉之前很多自己所愿意相信的善与美都在翻车，飘零成一地鸡毛，萧索悲凉。继我的最短爱豆滤镜碎成渣之后，今天又发现了在B 站关注很长时间的一个素人网红UP主被扒皮曝光，一个宣称自己晚期肺癌家境贫困的中年大叔，每期视频都有很高的点赞投币转发(这些都是可以兑换成现金的资源)，一个对外宣称抗癌四年半的坚强父亲，是一个抽烟喝酒嚼槟榔，自驾旅游开宝马，足疗按摩老火锅，一夜酒店两千块，海南三亚有豪宅的哭穷达人。他有病也许是真的，但是一定不算病入膏肓，而家境也不会像他说的这么惨绝人寰，在长达半年的时间里，B站把他推送给了很多人，我现在在想穷人的爱心是否就是多余的，那些连车都买不起的人还在花钱为生病的富人充电献爱心，多么讽刺。刚又看到大叔发的澄清视频，他面色红润避重就轻言辞闪烁语焉不详的解释了吃饭问题，又气急败坏的说他从没强迫或者鼓动任何人给他献爱心，这次的语速是他平时心慌气短低声呻吟的两倍，仿佛一下子肺活量回归到了正常水平。所以只卖惨不明着伸手要钱就是实事求是不骗人？忽然想起了王凤雅和罗一笑。可能这就是现实，这就是社会，为了钱大家都可以放弃底线，争先恐后为了利益可以不择手段。人生有时候真的是无聊透了，大梦一场三十年，忽然有了一种顿悟，普通人中的达者可能与汲汲营营者最大的不同就是，虽然也有物质追求，甚至平时也会半真半假的哭着喊着做梦都要发财，但真正面临选择的时候，金钱反而是最不重要的，作为人始终该善用金而不拜金，因为金钱本身就是人所创造并赋予其价值的商业产品之一，它冷冰冰，它没有生命，它只是贪婪欲望的渊薮中间一根可以攀援的铁链。而亲人、爱情、生命、健康，哪一项都比它更加重要，但是这样貌似正常且正确的价值观却离我们的生活越来越远，唉。有点迷惑，不如放过。收起全文d,05月25日 01:11, 转发 ,评论 
可可花生可可,O网页链接看，这位流量博主，骂完我所写的我亲身经历的教授爷爷家早产儿案例，她赶紧跟随，也写一篇她听说和看来的（之前有很多人写过），有名有姓北大哲学系教授周国平放弃（杀死）亲生女儿妞妞一事。周国平的女儿妞妞，是眼癌（视网膜 母细胞瘤），堪称世界上治愈率最高的癌症，在十几年前的医学治愈率即达到94%。眼癌（视网膜 母细胞瘤）的治疗费也在癌症里面属于惊人的低：平均不到十万（北京最顶尖的同仁医院、武警总院眼眶科的治疗数据），发现得早且及时治疗，三五万治愈的也有。我刚生完孩子看《妞妞》这本书，被周国平误导，以为眼癌（视网膜母细胞瘤）属不治之症。直到自己救助患儿，亲自见证多名眼癌的农村贫困患儿被治愈。才知道，被周国平的书骗了。当时第一反应是非常想冲到对门学校揍周国平一顿，他这个大骗子，杀女儿的教授！比起教授爷爷把早产孙女送去临终关怀机构里活活饿死（几天）。周国平更残忍，放弃女儿治疗，禁止医生治疗。把眼癌女儿带回家，看着她一天天，活活疼死—-长达几个月。周国平没闲着，在看着妞妞活活疼死的期间。周国平冷静记录下一切过程，女儿备受折磨的每一个细节。盼着女儿死了之后，立马出书，大赚特赚一笔钱。你们谁见过比这位教授更歹毒的人么？这可是被周国平自己写成书出版的真事，他有被剥夺监护权？可有进过一天监狱？Ps：几年前，周国平自己先天眼疾开始发作，正在逐渐步入失明，他全力治疗自己眼睛，并没有因为自己不完美了而放弃治，一天也没放弃治疗。周先天眼疾潜伏几十年，合理怀疑是周国平的基因，遗传给女儿眼癌。@微言教育请听听民意，请周国平文章撤出课本。收起全文d,05月21日 11:55, 转发 ,评论 
一只角,O网页链接看，这位流量博主，骂完我所写的我亲身经历的教授爷爷家早产儿案例，她赶紧跟随，也写一篇她听说和看来的（之前有很多人写过），有名有姓北大哲学系教授周国平放弃（杀死）亲生女儿妞妞一事。周国平的女儿妞妞，是眼癌（视网膜 母细胞瘤），堪称世界上治愈率最高的癌症，在十几年前的医学治愈率即达到94%。眼癌（视网膜 母细胞瘤）的治疗费也在癌症里面属于惊人的低：平均不到十万（北京最顶尖的同仁医院、武警总院眼眶科的治疗数据），发现得早且及时治疗，三五万治愈的也有。我刚生完孩子看《妞妞》这本书，被周国平误导，以为眼癌（视网膜母细胞瘤）属不治之症。直到自己救助患儿，亲自见证多名眼癌的农村贫困患儿被治愈。才知道，被周国平的书骗了。当时第一反应是非常想冲到对门学校揍周国平一顿，他这个大骗子，杀女儿的教授！比起教授爷爷把早产孙女送去临终关怀机构里活活饿死（几天）。周国平更残忍，放弃女儿治疗，禁止医生治疗。把眼癌女儿带回家，看着她一天天，活活疼死—-长达几个月。周国平没闲着，在看着妞妞活活疼死的期间。周国平冷静记录下一切过程，女儿备受折磨的每一个细节。盼着女儿死了之后，立马出书，大赚特赚一笔钱。你们谁见过比这位教授更歹毒的人么？这可是被周国平自己写成书出版的真事，他有被剥夺监护权？可有进过一天监狱？Ps：几年前，周国平自己先天眼疾开始发作，正在逐渐步入失明，他全力治疗自己眼睛，并没有因为自己不完美了而放弃治，一天也没放弃治疗。周先天眼疾潜伏几十年，合理怀疑是周国平的基因，遗传给女儿眼癌。@微言教育请听听民意，请周国平文章撤出课本。收起全文d,05月21日 11:55, 转发 2,评论 
直爽647,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。05flEQr17。布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。我大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,05月17日 08:25, 转发 ,评论 
尾段风,关于游识猷，可能大家忘了当初河南癌症女孩王凤雅事件的谣言就是她一手引起，造谣雅雅妈妈把捐款的钱给弟弟治病导致雅雅延误致死，还在微博上说雅雅和他弟弟的病“都是基因缺陷引起的。这家人坏的不仅是基因。”游老师真的向来是激化矛盾的老手。能说出这么恶毒的“基因”言论的游老师，前两天写的“科普”最后归因，一本正经地说代孕合理化是因为现代社会认为没有后代是残疾和耻辱，看得我都快哭了。她即便不是我上一条微博贴的垃圾社达价值观(不一定哦，就她那基因论的黑历史)，那也是逻辑混乱搞不清可以不行使权利的自由与不可以拥有该权利的区别，把“没有后代”改成“没有结婚”，甚至可以高大上地包裹起“婚驴”责难了。收起全文d,05月11日 01:31, 转发 2,评论 
上海东郭苇,完蛋，评论关晚了！！红红火火恍恍惚惚//////作家陈岚:我从未说过凤雅妈妈筹款15万及挪用款项用在儿子治疗唇腭裂。发布此内容的是”有槽”的贴子《王凤雅小朋友死了》，微博转发10万次，但我没转。05cRezt08。大概是极少的没有转发此热帖的V吧。所以，最后“造谣15万，挪用”这口锅要扣在我头上，对不起，我不背。收起全文d,05月08日 12:43, 转发 ,评论 
